id,sport,subject_type,subject,style,source_type,verified,title,channel,url,batch
64,cs,team,Spirit,action,fan,meta,sh1ro dropped the gun and did this sneaky knife EWC,EWC Extra,https://youtube.com/shorts/Lj4ckfQLO7U,
65,cs,team,NAVI,action,official,meta,HELLO It's Me - NAVI CS2 Shorts,NAVI CS2,https://youtube.com/shorts/TZYCR2DL2zQ,
66,cs,team,NAVI,action,official,meta,s1mple what - NAVI CS2 Shorts,NAVI CS2,https://youtube.com/shorts/Sf3ZBLG-RDo,
67,cs,team,Vitality,action,fan,meta,ZywOo ACE G2 vs Vitality Blast World Final 2024,CS2 Rampage,https://youtube.com/shorts/W-ZpWPJSEXY,
68,football,player,Mbappe,celebration;emotion,official,meta,Kylian Mbappe reacts (close-up),Kylian Mbappé,https://youtube.com/shorts/owX5gPgr2cI,
69,football,player,Mbappe,celebration;emotion,fan,meta,Mbappe reaction when he lost the World Cup,Exotic_EDITZ,https://youtube.com/shorts/NTeiZBR9xoA,
70,football,player,Mbappe,celebration;emotion,fan,meta,Mbappe peculiar crying goal celebration,Redis Turbo,https://youtube.com/shorts/xv4LR1zcwmI,
71,football,player,Mbappe,celebration;slowmo,fan,meta,Mbappe Iconic Knee Slide Celebration,Rudro Editz,https://youtube.com/shorts/OlAd4iVBfd8,
72,football,player,Haaland,celebration;emotion,fan,meta,Haaland Champions League Final celebration,enem user,https://youtube.com/shorts/ifVU3KYI_pM,
73,football,player,Haaland,entrance;emotion,broadcaster,meta,Haaland's drastic new look vs Bournemouth,Stan Sport Football,https://youtube.com/shorts/PZrQkjfX3Uk,
74,football,player,Haaland,celebration,fan,meta,Haaland Robot Celebration,The ULTRAS 90,https://youtube.com/shorts/f076LruX46Q,
75,football,player,Haaland,celebration,fan,meta,Why Does Haaland Celebrate Like a Robot,Clash Football,https://youtube.com/shorts/OM5X_6haaeI,
76,football,player,De Bruyne,celebration;emotion,fan,meta,De Bruyne Brought to Tears Having to Come Off,FootballTiktokz,https://youtube.com/shorts/TGJ0ZS22Img,
77,football,player,De Bruyne,celebration;emotion,fan,meta,Goodbye KDB,Falcon Ae,https://youtube.com/shorts/SGIGVXImzek,
78,football,player,De Bruyne,goal,fan,meta,De Bruyne goal no celebration,Footy PM,https://youtube.com/shorts/T2dxrWl4KeY,
79,football,player,De Bruyne,celebration,fan,meta,Kevin De Bruyne First Goal + Celebration,DLS_editzz,https://youtube.com/shorts/cHZVM4W9n2A,
80,football,player,Lamine Yamal,celebration,official,meta,Lamine Yamal shows how to celebrate a last minute goal,FC Barcelona,https://youtube.com/shorts/o1HlgSyRSQo,
81,football,player,Lamine Yamal,entrance;emotion,official,meta,Lamine Yamal's Special Moment,Lamine Yamal,https://youtube.com/shorts/jKArGRX4v-w,
82,football,player,Lamine Yamal,celebration;slowmo,fan,meta,Lamine celebrating in slow motion vs Saudi Arabia,Barca Connect,https://youtube.com/shorts/y5cSRaeHxZo,
83,football,player,Lamine Yamal,celebration;emotion,fan,meta,Lamine Yamal in tears after being substituted,Barca Family Zone,https://youtube.com/shorts/001QcY47wF8,
84,football,player,Kane,skills,official,meta,This is PURE ART (Harry Kane),Bundesliga,https://youtube.com/shorts/ePvwqcbiPBM,
85,football,player,Kane,entrance;emotion,official,meta,Harry Kane at Tottenham vs Bayern Munich transformation,Harry Kane Official,https://youtube.com/shorts/jlj0AntTI2c,
86,football,player,Kane,celebration;emotion,broadcaster,meta,Harry Kane on hitting 200 goals for Spurs,Amazon Prime Video Sport,https://youtube.com/shorts/HkbhFYZMQlw,
87,football,player,Kane,celebration,fan,meta,Harry Kane goal reaction Fulham 0-1 Tottenham,Tik-Tok Sport Compilation,https://youtube.com/shorts/jHUp8wmLogE,
88,football,player,Vini Jr,skills;slowmo,fan,meta,Vini Goal vs Liverpool w Slow Motion,@nextgemballer,https://youtube.com/shorts/2m5R3O_LKpw,
89,tennis,player,Halep,action;slowmo,fan,meta,Simona Halep serve in slow motion,ViewsoftheWorld,https://youtube.com/shorts/uLjWZCEoMGs,
90,basketball,team,EuroLeague,action,fan,meta,Mike James Makes EuroLeague History,EverythingBasketball,https://youtube.com/shorts/8CXNktuwA4s,
91,boxing,player,Manny Pacquiao,punch;slowmo,official,meta,PACQUIAO PUNCHES IN SLOW-MO,Team Pacquiao,https://youtube.com/shorts/rcIgmc2Ek-U,
92,boxing,player,Isaac Cruz,punch;slowmo,official,meta,Isaac Cruz Lands a CRUSHING Left Hook (In Super Slow Motion),Premier Boxing Champions,https://youtube.com/shorts/3xJQpf24fJo,
93,boxing,player,Gervonta Davis,punch;slowmo,fan,meta,Gervonta Davis Signature Uppercut In Super Slow Motion,sweetscience,https://youtube.com/shorts/O21PHgQEb08,
94,boxing,player,Usyk vs Dubois,punch;slowmo,fan,meta,Usyk vs Dubois 2 - INSANE Double Punch in Slow Motion,IF SPORT,https://youtube.com/shorts/fUqFYuGxI5c,
95,boxing,player,Mike Tyson,knockout;slowmo,fan,meta,Mike Tyson Knockout in Slow mo,SportsWrapTV with Omane,https://youtube.com/shorts/EW6w3Yb07fo,
96,boxing,player,Andre Ward,punch;slowmo,fan,meta,Andre Ward Beautiful Counter Punch Slow Motion,Bxxing,https://youtube.com/shorts/g1DYnVuFr5A,
97,mma,player,Ilia Topuria vs Max Holloway,knockout;slowmo,fan,meta,Ilia Topuria KOs Max Holloway in Slow Motion,The Fight Nights,https://youtube.com/shorts/q7gVZlkRAp0,
98,mma,player,Israel Adesanya vs Alex Pereira,knockout;slowmo,fan,meta,SLOW MOTION ISRAEL ADESANYA KO PEREIRA UFC 287,Anthony June,https://youtube.com/shorts/kWoWoYzSJL8,
99,mma,player,Leon Edwards vs Kamaru Usman,knockout;slowmo,fan,meta,Leon Edwards ONE IN A MILLION HEADKICK KO vs Kamaru Usman - SUPER SLOW MO,MMA Clipmaster,https://youtube.com/shorts/XL0EwUKXmX4,
100,mma,player,Conor McGregor vs Eddie Alvarez,action,fan,meta,Conor McGregor vs. Eddie Alvarez,KO.Vortex,https://youtube.com/shorts/bDwzxs6H_R8,
101,mma,player,Ronda Rousey vs Bethe Correia,knockout,fan,meta,Ronda Rousey vs. Bethe Correia,KO.Library,https://youtube.com/shorts/khKthZLQDR0,
102,mma,generic,UFC,knockout,fan,meta,BRUTAL 35 Second K.O DWCS W3,KlayMMA,https://youtube.com/shorts/GJTFJPVUyu0,
103,muaythai,generic,Muay Thai,knockout;slowmo,fan,meta,Muay Thai Jumping Elbow Ultra Slow-motion 960 Fps,Muay Thai Galaxy,https://youtube.com/shorts/nJeOV-aJG5I,
104,muaythai,generic,Muay Thai,knockout;slowmo,fan,meta,Devastating Elbow KO in Muay Thai Slow Motion,Muay Thai Galaxy,https://youtube.com/shorts/LUrl8dH3TDE,
105,muaythai,generic,Muay Thai,knockout,fan,meta,"One Head Kick, One Knockdown - Muay Thai Highlight",Gold Standard Muay Thai,https://youtube.com/shorts/8v0AHQMDHYc,
106,muaythai,player,Tawanchai,highlights,fan,meta,tawanchai moment,HighlightSportID,https://youtube.com/shorts/ISNYVpOYRb4,
107,muaythai,generic,Muay Thai,highlights,fan,meta,CODAZO,Nak Su Fights,https://youtube.com/shorts/GAEdFQ-UHZk,
108,dota2,team,Team Spirit,emotion;celebration,fan,meta,Old but gold team spirit vs. Team Vision in the international 2026 grand finals dota 2,CerChip OFFICIAL,https://youtube.com/shorts/Uq-giB2q-kM,
109,dota2,player,Yatoro,emotion,fan,meta,Yatoro: I am a Professional! [TEAMSPEAK],IV,https://youtube.com/shorts/by0Mm4oRCOk,
110,dota2,team,Team Spirit,emotion,fan,meta,emotions-realization #teamspirit #theinternational #ti10,Why ev,https://youtube.com/shorts/MhCk5i5vF-Y,
111,dota2,generic,Team Liquid,emotion,fan,meta,One of the Saddest Moment of The International 2022 - Liquid Vs Thunder Awaken,Dota Shorts,https://youtube.com/shorts/VAOBEBD4Fkc,
112,dota2,player,SumaiL,emotion,fan,meta,SumaiL actually cries on stream during Dota 2 match,Moments to remember,https://youtube.com/shorts/SNNcHOl_TK8,
113,dota2,generic,The International,emotion,fan,meta,Backstage Reaction as Micke survives on 1 HP,DOTA PERSPECTIVE,https://youtube.com/shorts/p2iiiyEqgGw,
114,lol,player,Faker,emotion,fan,meta,Faker sees his past as Keria cries,T1 fan clip,https://youtube.com/shorts/R0IYaMZL7js,
115,lol,player,Keria,emotion,fan,meta,Keria EXPLODES after T1 vs GenG Ending #worlds2024,Ashley Kang,https://youtube.com/shorts/wqMD5bBL0L0,
116,lol,player,Faker,emotion,fan,meta,The Worlds Loss Faker Couldn't Hide,LeooKnightus,https://youtube.com/shorts/q19a2n-FZPQ,
117,lol,player,Caliste,celebration;emotion,official,meta,Caliste gets a pentakill with such nonchalance,LoL Esports,https://youtube.com/shorts/SOjaxKt6reM,
118,lol,player,Caps,emotion,fan,meta,Caps Enters the LoL Hall of Legends!,PCGamesN,https://youtube.com/shorts/hQ_0rcTEvbA,
119,lol,generic,LoL Esports,emotion,fan,meta,There's nothing worse in the world than losing at Worlds,TheBausffs Highlights,https://youtube.com/shorts/P7EkMTyiCQo,
120,valorant,team,TYLOO,celebration,official,meta,TYLOO picked up a trophy on their way to VALORANT Champions Shanghai,VALORANT Champions Tour,https://youtube.com/shorts/pw3cgY--nD8,
121,valorant,team,LOUD,emotion;celebration,fan,meta,VCT 2022 Valorant winning moment LOUD from Brazil,smcyaseeTV,https://youtube.com/shorts/35iaEtoJsxo,
122,valorant,team,Paper Rex,emotion,fan,meta,PRX Alecks's Emotional Roller-coaster (Paper Rex vs Team Heretics) VCT masters Madrid,AstaFlux,https://youtube.com/shorts/j_xMwotHRJI,
123,valorant,team,Fnatic,celebration,fan,meta,Fnatic Boaster always has the best celebrations,ATapAway,https://youtube.com/shorts/MEgdYEGfJdU,
124,valorant,generic,VCT Americas,celebration,official,meta,Love it when the coaches get just as excited as the pros,VALORANT Champions Tour Americas,https://youtube.com/shorts/SoQQaEH96JE,
125,valorant,team,Fnatic,emotion,fan,meta,Boaster Reacts to FNATIC Vs LOUD Loss,Avalon,https://youtube.com/shorts/nOF3h0j3JLM,
126,football,generic,UEFA,goal,official,eye,INCREDIBLE solo goal 😳,UEFA,https://youtube.com/shorts/QWobKDI5KIc,
127,football,player,Cristiano Ronaldo,skills;goal,fan,eye,🔥 Ronaldo’s Signature Step Over & Stunning Goal! ⚡🎯 | Pure Football Magic,Portugal F.C.,https://youtube.com/shorts/VAsGZ1PeWUs,
128,football,player,Cristiano Ronaldo,skills;slowmo,fan,eye,Cristiano Ronaldo high jump ||♥️||,WORLD OF OUTFITS,https://youtube.com/shorts/NXW_QLRegOM,
129,football,player,Lionel Messi,skills,fan,eye,Prime Messi in Last Minute 😈,SH10Comps,https://youtube.com/shorts/_l_-vU4VvW8,
130,football,player,Cristiano Ronaldo,goal;skills,fan,eye,He Sat Them Down One by One and Finished Ice-Cold 🔥,SportsFlow,https://youtube.com/shorts/5nBj20enoRY,
131,football,player,Lionel Messi,skills;celebration,fan,eye,Messi x New Trend 🔥😮‍💨,Shady_Edit,https://youtube.com/shorts/xmSgANHAgZ8,
132,football,player,Neymar,skills,fan,meta,Neymar Jr 4K Skills 🔥 | Insane Dribbles ⚽,Aloneyt-7h,https://youtube.com/shorts/wEz0K7NTHqQ,
133,football,generic,Football,skills;slowmo,fan,meta,Smoothest Transitions in Football 🥶,Skiller 90,https://youtube.com/shorts/goB5wzxbr7I,
134,football,player,Vinicius Junior,skills,official,meta,INSANE VINI 🌠 #skills #realmadrid,LALIGA EA SPORTS,https://youtube.com/shorts/6HDkDiLcotw,
135,football,generic,Football,action,official,meta,4K 100fps 360° Football Action | DJI Osmo 360,DJI,https://youtube.com/shorts/jr5HBGmQAs0,
136,basketball,player,Richaun Holmes,dunk;slowmo,fan,meta,Richaun Holmes best pregame slow motion dunk 🔥😍🏀,nba plays today,https://youtube.com/shorts/Cfy5t9od_80,
137,basketball,player,Kyrie Irving,skills;slowmo,fan,meta,Kyrie Irving slow motion NBA highlights,Just Basketball,https://youtube.com/shorts/IURfqpDO7Q0,
138,basketball,player,Zion Williamson,dunk;slowmo,fan,meta,Zion Williamson 360 windmill dunk slow motion 💣,iLove,https://youtube.com/shorts/98mIl0PXI3o,
139,basketball,generic,NBA,dunk;slowmo,fan,meta,slow motion game boys 😎,Sports Freekze,https://youtube.com/shorts/4Mfn9n6DbUc,
140,basketball,generic,NBA,dunk;slowmo,fan,meta,slow mo dunk and normal speed dunk and very fast speed dunk,Endzone productions,https://youtube.com/shorts/vUyFO_Lx81k,
141,basketball,player,Jaylen Brown,dunk;slowmo,fan,meta,Jaylen Brown dunk really looks nice in slow-mo,NBAFlix,https://youtube.com/shorts/sC10-TkFBCc,
142,basketball,player,LeBron James,slowmo,official,eye,LeBron... Courtside. Slow motion. BUCKETS! #Shorts,NBA Europe,https://youtube.com/shorts/ff0HtErK0XI,
143,basketball,player,Stephen Curry,skills;slowmo,fan,meta,Steph Curry Shot Slow Motion | Shot path,Khurram Sultan,https://youtube.com/shorts/WDnT5lF745w,
144,basketball,player,Anthony Edwards,dunk,fan,meta,The Best Anthony Edwards Dunks 🤯,Josh Englert,https://youtube.com/shorts/ZZyz9HrFSDI,
145,basketball,generic,Basketball,slowmo,fan,meta,Basketball shot in slow motion,ARCTIC DAKOTA,https://youtube.com/shorts/tk0Oaf3qDUM,
146,hockey,generic,Hockey,slowmo,fan,meta,Slo Mo Slapshot,JSwizz11es,https://youtube.com/shorts/8Ge5RThoMrk,
147,hockey,generic,Hockey,skills,fan,meta,A cinematic breakdown of iconic shootout goals,Ice IQ,https://youtube.com/shorts/78EECd-Lo-k,
148,hockey,generic,Hockey,skills,fan,meta,Super Shots player #hockey,Top Buzz USA,https://youtube.com/shorts/5KGO9Hlpgfk,
149,hockey,generic,Hockey,slowmo,fan,meta,I Hate It When You Can't Stop It And Have To Watch It In Slow Motion,HockeyHelge,https://youtube.com/shorts/iQddNCiQjk0,
150,hockey,player,Connor McDavid,skills,fan,meta,Connor McDavid's insane speed + wrist shot training,Game Time Clips,https://youtube.com/shorts/LalPnhjioZo,
151,hockey,player,Mitch Marner,entrance,broadcaster,meta,Mitch Marner Warmup Spins 🕺,SPORTSNET,https://youtube.com/shorts/9APjH0-Atpw,
152,hockey,player,Connor Bedard,skills,fan,meta,Connor Bedard's shooting drill 🎯🏒,Dave Sport,https://youtube.com/shorts/PoWl4ydPSbE,
153,hockey,team,Seattle Kraken,action,official,eye,zoom zoom ⚡️ #SeattleKraken #NHL,Seattle Kraken,https://youtube.com/shorts/AvcgGCHVCDo,
154,hockey,generic,Hockey,goal;skills,fan,meta,combination + GOAL!!! 😳🔥,Only Athlete,https://youtube.com/shorts/xllmcWx6hU0,
155,hockey,generic,Hockey,skills,fan,meta,Smooth 😎 #hockey #trickshots,Artur Masalimov,https://youtube.com/shorts/LqV1BiyOGlM,
156,mma,generic,UFC 330,knockout;slowmo,fan,meta,UFC 330's Most INSANE Moments in Slow Motion 🔥🥊,KO Fight Rush,https://youtube.com/shorts/S0Nb2YJ6gjw,
157,mma,player,Alex Pereira,slowmo,fan,meta,Cold face. Violent hands. Alex Pereira #cinematic,N.Zoii_,https://youtube.com/shorts/dGRhZRN5wsU,
158,mma,player,Edson Barboza,highlights;slowmo,fan,meta,Barboza Retirement Fight | Edson Barboza UFC Edit | 4K 120FPS,MMA Legends,https://youtube.com/shorts/EO_G4QSkw-k,
159,mma,player,Conor McGregor,knockout;slowmo,fan,meta,Conor McGregor 13 SECOND KNOCKOUT vs Jose Aldo - Super Slow Mo,MMA Clipmaster,https://youtube.com/shorts/fo1zxSvLmJ4,
160,mma,player,Ilia Topuria,knockout;slowmo,broadcaster,meta,Slow Mo: Ilia Topuria's KO Of Charles Oliveira 💥,SPORTSNET,https://youtube.com/shorts/V19R_CyRooU,
161,mma,generic,UFC,slowmo,broadcaster,meta,Slow-mo shoey 👟,ESPN MMA,https://youtube.com/shorts/HB8korpqojo,
162,mma,player,Jon Jones,knockout;slowmo,fan,meta,Jon Jones vs Stipe Miocic Slomo Highlights,Zeilen aus Gold,https://youtube.com/shorts/MKuGZPeiGUI,
163,mma,generic,UFC,knockout,official,eye,Dude... this knee sounded SO LOUD! 😳 #nocommentary,UFC,https://youtube.com/shorts/gfmFLHyLBlU,
164,mma,player,Islam Makhachev,knockout,fan,meta,From soft poses to relentless UFC knockouts! #IslamMakhachev,UFCzic,https://youtube.com/shorts/cw4AOcF_NEk,
165,mma,player,Yoel Romero,knockout,fan,meta,Yoel Romero vs Chris Weidman highlight #flying #knee,KNOCKOUT-KINGZZ,https://youtube.com/shorts/_9T1cBjG0nU,
166,f1,team,Mercedes-AMG Petronas,celebration;slowmo,official,meta,Champagne spray always looks better in slow mo 🍾,Mercedes-AMG Petronas Formula One Team,https://youtube.com/shorts/uJGN_RcSfxI,
167,f1,generic,Formula 1,slowmo,fan,meta,F1 Car DRIFTS Through Rain at Golden Hour | Cinematic Racing,Content Pulse 99,https://youtube.com/shorts/B9A1rBpGheo,
168,f1,team,Mercedes-AMG Petronas,action,official,eye,The Most Beautiful Sound In The World 😍,Mercedes-AMG Petronas Formula One Team,https://youtube.com/shorts/UD0byvAvY8w,
169,f1,generic,Formula 1,action,fan,meta,0-200 km/h in 3.9s in F1 Car Onboard,Kamil Junior,https://youtube.com/shorts/YxUe3lSxarQ,
170,f1,generic,Formula 1,action,fan,meta,Monaco's Swimming Pool Chicane: F1's Greatest Camera Angle,My F1 Obsession,https://youtube.com/shorts/fXTwruSkkJY,
171,f1,generic,Formula 1,slowmo,fan,meta,slow vs fast corner in f1 😍🔥,F1 IS LOVE,https://youtube.com/shorts/nFsHRnb6jfw,
172,f1,generic,Formula 1,highlights,fan,meta,Formula 1 Edit | Sem Controle slowed,Tikk Editx,https://youtube.com/shorts/7MR8pEnwpI8,
173,f1,player,Kimi Antonelli,action;slowmo,fan,meta,so cinematic 🏎❤️,AntonelliF1,https://youtube.com/shorts/BPm8G1MjUHM,
174,f1,generic,Formula 1,highlights,fan,meta,The most cinematic F1 marshal moment 🏁 Zandvoort,ApexSport,https://youtube.com/shorts/bGOr0DeRcNI,
